"","id","dttm","temp","lux"
"1",1,"11/12/2021 01:00:00",4.207,0
"2",2,"11/12/2021 01:10:00",4.207,0
"3",3,"11/12/2021 01:20:00",4.207,0
"4",4,"11/12/2021 01:30:00",4.207,0
"5",5,"11/12/2021 01:40:00",4.207,0
"6",6,"11/12/2021 01:50:00",4.207,0
"7",7,"11/12/2021 02:00:00",4.207,0
"8",8,"11/12/2021 02:10:00",4.207,0
"9",9,"11/12/2021 02:20:00",4.207,0
"10",10,"11/12/2021 02:30:00",4.207,0
"11",11,"11/12/2021 02:40:00",4.207,0
"12",12,"11/12/2021 02:50:00",4.207,0
"13",13,"11/12/2021 03:00:00",4.207,0
"14",14,"11/12/2021 03:10:00",4.207,0
"15",15,"11/12/2021 03:20:00",4.207,0
"16",16,"11/12/2021 03:30:00",4.207,0
"17",17,"11/12/2021 03:40:00",4.207,0
"18",18,"11/12/2021 03:50:00",4.207,0
"19",19,"11/12/2021 04:00:00",4.207,0
"20",20,"11/12/2021 04:10:00",4.207,0
"21",21,"11/12/2021 04:20:00",4.207,0
"22",22,"11/12/2021 04:30:00",4.207,0
"23",23,"11/12/2021 04:40:00",4.102,0
"24",24,"11/12/2021 04:50:00",4.102,0
"25",25,"11/12/2021 05:00:00",4.102,0
"26",26,"11/12/2021 05:10:00",3.998,0
"27",27,"11/12/2021 05:20:00",3.893,0
"28",28,"11/12/2021 05:30:00",3.788,0
"29",29,"11/12/2021 05:40:00",3.788,0
"30",30,"11/12/2021 05:50:00",3.683,0
"31",31,"11/12/2021 06:00:00",3.683,0
"32",32,"11/12/2021 06:10:00",3.578,0
"33",33,"11/12/2021 06:20:00",3.578,0
"34",34,"11/12/2021 06:30:00",3.578,0
"35",35,"11/12/2021 06:40:00",3.578,0
"36",36,"11/12/2021 06:50:00",3.472,0
"37",37,"11/12/2021 07:00:00",3.472,0
"38",38,"11/12/2021 07:10:00",3.472,0
"39",39,"11/12/2021 07:20:00",3.472,0
"40",40,"11/12/2021 07:30:00",3.578,0
"41",41,"11/12/2021 07:40:00",3.578,0
"42",42,"11/12/2021 07:50:00",3.683,0
"43",43,"11/12/2021 08:00:00",3.683,0
"44",44,"11/12/2021 08:10:00",3.683,0
"45",45,"11/12/2021 08:20:00",3.578,0
"46",46,"11/12/2021 08:30:00",3.472,10.8
"47",47,"11/12/2021 08:40:00",3.472,32.3
"48",48,"11/12/2021 08:50:00",3.472,43.1
"49",49,"11/12/2021 09:00:00",3.472,64.6
"50",50,"11/12/2021 09:10:00",3.578,86.1
"51",51,"11/12/2021 09:20:00",3.683,118.4
"52",52,"11/12/2021 09:30:00",3.683,215.3
"53",53,"11/12/2021 09:40:00",3.683,183
"54",54,"11/12/2021 09:50:00",3.683,215.3
