"dttm","temp"
"2021-12-13 00:00:00",5.2783
"2021-12-13 01:00:00",5.535
"2021-12-13 02:00:00",5.4838
"2021-12-13 03:00:00",5.1912
"2021-12-13 04:00:00",4.363
"2021-12-13 05:00:00",4.1023
"2021-12-13 06:00:00",4.0322
"2021-12-13 07:00:00",3.5075
"2021-12-13 08:00:00",3.613
"2021-12-13 09:00:00",3.8403
"2021-12-13 10:00:00",4.6745
"2021-12-13 11:00:00",5.774
"2021-12-13 12:00:00",6.7415
"2021-12-13 13:00:00",7.6148
"2021-12-13 14:00:00",8.1153
"2021-12-13 15:00:00",7.8322
"2021-12-13 16:00:00",6.842
"2021-12-13 17:00:00",5.8593
"2021-12-13 18:00:00",5.1747
"2021-12-13 19:00:00",4.6923
"2021-12-13 20:00:00",4.3457
"2021-12-13 21:00:00",3.823
"2021-12-13 22:00:00",3.6128
"2021-12-13 23:00:00",3.261
"2021-12-14 00:00:00",2.943
"2021-12-14 01:00:00",2.8013
"2021-12-14 02:00:00",2.4278
"2021-12-14 03:00:00",2.1235
"2021-12-14 04:00:00",1.818
"2021-12-14 05:00:00",2.0335
"2021-12-14 06:00:00",2.5527
"2021-12-14 07:00:00",2.8545
"2021-12-14 08:00:00",2.9077
"2021-12-14 09:00:00",3.4718
"2021-12-14 10:00:00",4.1887
"2021-12-14 11:00:00",4.9338
"2021-12-14 12:00:00",4.3455
"2021-12-14 13:00:00",4.8477
"2021-12-14 14:00:00",5.2268
"2021-12-14 15:00:00",5.4325
"2021-12-14 16:00:00",4.9857
"2021-12-14 17:00:00",4.8825
"2021-12-14 18:00:00",4.848
"2021-12-14 19:00:00",4.2585
"2021-12-14 20:00:00",4.05
"2021-12-14 21:00:00",3.893
"2021-12-14 22:00:00",4.0325
"2021-12-14 23:00:00",4.085
"2021-12-15 00:00:00",4.3283
"2021-12-15 01:00:00",4.137
"2021-12-15 02:00:00",4.0847
"2021-12-15 03:00:00",3.8055
"2021-12-15 04:00:00",3.9625
"2021-12-15 05:00:00",4.05
"2021-12-15 06:00:00",4.2067
"2021-12-15 07:00:00",4.3283
"2021-12-15 08:00:00",NA
"2021-12-15 09:00:00",3.9453
"2021-12-15 10:00:00",4.415
"2021-12-15 11:00:00",4.7785
"2021-12-15 12:00:00",5.0892
"2021-12-15 13:00:00",5.1235
"2021-12-15 14:00:00",5.1408
"2021-12-15 15:00:00",5.0545
"2021-12-15 16:00:00",5.0717
"2021-12-15 17:00:00",5.3127
"2021-12-15 18:00:00",5.2268
"2021-12-15 19:00:00",5.158
"2021-12-15 20:00:00",5.1062
"2021-12-15 21:00:00",5.02
"2021-12-15 22:00:00",5.0373
"2021-12-15 23:00:00",5.2612
"2021-12-16 00:00:00",5.1235
"2021-12-16 01:00:00",4.934
"2021-12-16 02:00:00",4.848
"2021-12-16 03:00:00",4.5537
"2021-12-16 04:00:00",4.3283
"2021-12-16 05:00:00",4.224
"2021-12-16 06:00:00",3.9278
"2021-12-16 07:00:00",3.5952
"2021-12-16 08:00:00",3.8055
"2021-12-16 09:00:00",4.2237
"2021-12-16 10:00:00",4.8993
"2021-12-16 11:00:00",5.4668
"2021-12-16 12:00:00",5.6718
"2021-12-16 13:00:00",5.8428
"2021-12-16 14:00:00",5.962
"2021-12-16 15:00:00",5.911
"2021-12-16 16:00:00",5.7573
"2021-12-16 17:00:00",NA
"2021-12-16 18:00:00",NA
"2021-12-16 19:00:00",5.2435
"2021-12-16 20:00:00",4.5882
"2021-12-16 21:00:00",4.0152
"2021-12-16 22:00:00",3.7005
"2021-12-16 23:00:00",3.4722
"2021-12-17 00:00:00",2.9252
"2021-12-17 01:00:00",2.8898
"2021-12-17 02:00:00",2.7302
"2021-12-17 03:00:00",2.5882
"2021-12-17 04:00:00",2.463
"2021-12-17 05:00:00",2.0338
"2021-12-17 06:00:00",1.7818
"2021-12-17 07:00:00",1.0025
"2021-12-17 08:00:00",1.4207
"2021-12-17 09:00:00",1.818
"2021-12-17 10:00:00",2.516
"2021-12-17 11:00:00",3.4535
"2021-12-17 12:00:00",4.3803
"2021-12-17 13:00:00",4.692
"2021-12-17 14:00:00",5.0027
"2021-12-17 15:00:00",4.8822
"2021-12-17 16:00:00",4.2238
"2021-12-17 17:00:00",3.2252
"2021-12-17 18:00:00",2.6592
"2021-12-17 19:00:00",2.105
"2021-12-17 20:00:00",1.2392
"2021-12-17 21:00:00",1.5117
"2021-12-17 22:00:00",1.4935
"2021-12-17 23:00:00",1.2392
"2021-12-18 00:00:00",1.021
"2021-12-18 01:00:00",0.875
"2021-12-18 02:00:00",0.8385
"2021-12-18 03:00:00",1.021
"2021-12-18 04:00:00",1.0393
"2021-12-18 05:00:00",1.0575
"2021-12-18 06:00:00",0.8932
"2021-12-18 07:00:00",0.8567
"2021-12-18 08:00:00",0.8203
"2021-12-18 09:00:00",0.9663
"2021-12-18 10:00:00",0.7283
"2021-12-18 11:00:00",0.8928
"2021-12-18 12:00:00",1.439
"2021-12-18 13:00:00",1.782
"2021-12-18 14:00:00",2.1237
"2021-12-18 15:00:00",2.41
"2021-12-18 16:00:00",2.2127
"2021-12-18 17:00:00",1.764
"2021-12-18 18:00:00",2.0693
"2021-12-18 19:00:00",2.7127
"2021-12-18 20:00:00",2.1058
"2021-12-18 21:00:00",2.2313
"2021-12-18 22:00:00",NA
"2021-12-18 23:00:00",2.4813
"2021-12-19 00:00:00",2.4992
"2021-12-19 01:00:00",2.3028
"2021-12-19 02:00:00",2.2312
"2021-12-19 03:00:00",NA
"2021-12-19 04:00:00",2.1595
"2021-12-19 05:00:00",1.926
"2021-12-19 06:00:00",1.818
"2021-12-19 07:00:00",1.5658
"2021-12-19 08:00:00",1.439
"2021-12-19 09:00:00",1.5297
"2021-12-19 10:00:00",1.746
"2021-12-19 11:00:00",1.872
"2021-12-19 12:00:00",2.0697
"2021-12-19 13:00:00",2.6415
"2021-12-19 14:00:00",2.4277
"2021-12-19 15:00:00",2.0337
"2021-12-19 16:00:00",2.0517
"2021-12-19 17:00:00",1.836
"2021-12-19 18:00:00",1.4933
"2021-12-19 19:00:00",1.4027
"2021-12-19 20:00:00",1.3118
"2021-12-19 21:00:00",1.221
"2021-12-19 22:00:00",1.3118
"2021-12-19 23:00:00",1.2755
"2021-12-20 00:00:00",1.1665
"2021-12-20 01:00:00",1.1118
"2021-12-20 02:00:00",0.8385
"2021-12-20 03:00:00",0.8748
"2021-12-20 04:00:00",0.729
"2021-12-20 05:00:00",0.6367
"2021-12-20 06:00:00",-0.009
"2021-12-20 07:00:00",-0.2692
"2021-12-20 08:00:00",-0.381
"2021-12-20 09:00:00",0.1573
"2021-12-20 10:00:00",1.3482
"2021-12-20 11:00:00",2.3018
"2021-12-20 12:00:00",3.4012
"2021-12-20 13:00:00",4.2762
"2021-12-20 14:00:00",4.311
"2021-12-20 15:00:00",4.1195
"2021-12-20 16:00:00",3.1368
"2021-12-20 17:00:00",2.1053
"2021-12-20 18:00:00",1.4752
"2021-12-20 19:00:00",1.33
"2021-12-20 20:00:00",0.8928
"2021-12-20 21:00:00",0.4347
"2021-12-20 22:00:00",0.4713
"2021-12-20 23:00:00",0.3427
"2021-12-21 00:00:00",0.1762
"2021-12-21 01:00:00",-0.232
"2021-12-21 02:00:00",-0.718
"2021-12-21 03:00:00",-1.4765
"2021-12-21 04:00:00",-2.7468
"2021-12-21 05:00:00",-3.1382
"2021-12-21 06:00:00",-3.5932
"2021-12-21 07:00:00",-3.633
"2021-12-21 08:00:00",-3.474
"2021-12-21 09:00:00",-3.1387
"2021-12-21 10:00:00",-2.8248
"2021-12-21 11:00:00",-2.4165
"2021-12-21 12:00:00",-1.6277
"2021-12-21 13:00:00",-1.6845
"2021-12-21 14:00:00",-1.8565
"2021-12-21 15:00:00",-1.5507
"2021-12-21 16:00:00",-1.4367
"2021-12-21 17:00:00",-1.2655
"2021-12-21 18:00:00",-1.3035
"2021-12-21 19:00:00",-1.2467
"2021-12-21 20:00:00",-1.4557
"2021-12-21 21:00:00",-1.6083
"2021-12-21 22:00:00",-1.6843
"2021-12-21 23:00:00",-2.3592
"2021-12-22 00:00:00",-2.9813
"2021-12-22 01:00:00",-3.375
"2021-12-22 02:00:00",-3.7718
"2021-12-22 03:00:00",-4.0715
"2021-12-22 04:00:00",-4.3325
"2021-12-22 05:00:00",-4.3328
"2021-12-22 06:00:00",-4.9417
"2021-12-22 07:00:00",-4.9825
"2021-12-22 08:00:00",-4.9007
"2021-12-22 09:00:00",-4.4143
"2021-12-22 10:00:00",-3.5138
"2021-12-22 11:00:00",-2.418
"2021-12-22 12:00:00",-0.926
"2021-12-22 13:00:00",-0.1575
"2021-12-22 14:00:00",0.121
"2021-12-22 15:00:00",0.0468
"2021-12-22 16:00:00",-0.4375
"2021-12-22 17:00:00",-1.1902
"2021-12-22 18:00:00",-1.7035
"2021-12-22 19:00:00",-2.0877
"2021-12-22 20:00:00",-2.455
"2021-12-22 21:00:00",-2.766
"2021-12-22 22:00:00",-2.864
"2021-12-22 23:00:00",-3.0987
"2021-12-23 00:00:00",-3.1972
"2021-12-23 01:00:00",-3.1773
"2021-12-23 02:00:00",-3.2565
"2021-12-23 03:00:00",-3.0988
"2021-12-23 04:00:00",-2.9422
"2021-12-23 05:00:00",-2.805
"2021-12-23 06:00:00",-2.4165
"2021-12-23 07:00:00",-1.4752
"2021-12-23 08:00:00",-0.831
"2021-12-23 09:00:00",NA
"2021-12-23 10:00:00",5.3773
"2021-12-23 11:00:00",6.5388
"2021-12-23 12:00:00",6.9925
"2021-12-23 13:00:00",9.2578
"2021-12-23 14:00:00",8.1985
"2021-12-23 15:00:00",8.1822
"2021-12-23 16:00:00",8.8453
"2021-12-23 17:00:00",8.7627
"2021-12-23 18:00:00",8.8952
"2021-12-23 19:00:00",9.3565
"2021-12-23 20:00:00",9.8498
"2021-12-23 21:00:00",10.5522
"2021-12-23 22:00:00",10.3568
"2021-12-23 23:00:00",10.2263
"2021-12-24 00:00:00",10.846
"2021-12-24 01:00:00",10.6668
"2021-12-24 02:00:00",10.406
"2021-12-24 03:00:00",10.4387
"2021-12-24 04:00:00",10.259
"2021-12-24 05:00:00",10.259
"2021-12-24 06:00:00",10.0957
"2021-12-24 07:00:00",9.8663
"2021-12-24 08:00:00",9.4722
"2021-12-24 09:00:00",8.7795
"2021-12-24 10:00:00",8.7625
"2021-12-24 11:00:00",9.1757
"2021-12-24 12:00:00",9.6363
"2021-12-24 13:00:00",9.8498
"2021-12-24 14:00:00",9.8335
"2021-12-24 15:00:00",9.9483
"2021-12-24 16:00:00",10.1283
"2021-12-24 17:00:00",10.3733
"2021-12-24 18:00:00",10.52
"2021-12-24 19:00:00",10.6508
"2021-12-24 20:00:00",10.602
"2021-12-24 21:00:00",10.5367
"2021-12-24 22:00:00",10.5855
"2021-12-24 23:00:00",10.5367
"2021-12-25 00:00:00",10.5528
"2021-12-25 01:00:00",11.0573
"2021-12-25 02:00:00",11.2848
"2021-12-25 03:00:00",11.4957
"2021-12-25 04:00:00",11.431
"2021-12-25 05:00:00",11.285
"2021-12-25 06:00:00",11.22
"2021-12-25 07:00:00",11.1063
"2021-12-25 08:00:00",NA
"2021-12-25 09:00:00",11.155
"2021-12-25 10:00:00",11.3013
"2021-12-25 11:00:00",11.447
"2021-12-25 12:00:00",11.431
"2021-12-25 13:00:00",11.3173
"2021-12-25 14:00:00",NA
"2021-12-25 15:00:00",11.2038
"2021-12-25 16:00:00",10.9925
"2021-12-25 17:00:00",10.5528
"2021-12-25 18:00:00",10.21
"2021-12-25 19:00:00",9.9812
"2021-12-25 20:00:00",9.7677
"2021-12-25 21:00:00",9.5707
"2021-12-25 22:00:00",9.5545
"2021-12-25 23:00:00",9.4062
"2021-12-26 00:00:00",8.9115
"2021-12-26 01:00:00",7.782
"2021-12-26 02:00:00",6.6908
"2021-12-26 03:00:00",6.268
"2021-12-26 04:00:00",6.03
"2021-12-26 05:00:00",5.7402
"2021-12-26 06:00:00",5.5865
"2021-12-26 07:00:00",5.6035
"2021-12-26 08:00:00",5.6718
"2021-12-26 09:00:00",5.7742
"2021-12-26 10:00:00",6.3865
"2021-12-26 11:00:00",6.708
"2021-12-26 12:00:00",6.8087
"2021-12-26 13:00:00",7.347
"2021-12-26 14:00:00",7.8318
"2021-12-26 15:00:00",8.2152
"2021-12-26 16:00:00",8.7958
"2021-12-26 17:00:00",8.581
"2021-12-26 18:00:00",8.7132
"2021-12-26 19:00:00",8.912
"2021-12-26 20:00:00",NA
"2021-12-26 21:00:00",8.9118
"2021-12-26 22:00:00",8.978
"2021-12-26 23:00:00",8.829
"2021-12-27 00:00:00",8.8288
"2021-12-27 01:00:00",8.945
"2021-12-27 02:00:00",8.8788
"2021-12-27 03:00:00",8.8787
"2021-12-27 04:00:00",8.3652
"2021-12-27 05:00:00",8.2153
"2021-12-27 06:00:00",8.1987
"2021-12-27 07:00:00",7.7652
"2021-12-27 08:00:00",7.0957
"2021-12-27 09:00:00",6.978
"2021-12-27 10:00:00",7.4307
"2021-12-27 11:00:00",8.4807
"2021-12-27 12:00:00",8.6468
"2021-12-27 13:00:00",NA
"2021-12-27 14:00:00",8.7463
"2021-12-27 15:00:00",9.4718
"2021-12-27 16:00:00",9.5707
"2021-12-27 17:00:00",9.7348
"2021-12-27 18:00:00",10.2263
"2021-12-27 19:00:00",10.21
"2021-12-27 20:00:00",10.3897
"2021-12-27 21:00:00",NA
"2021-12-27 22:00:00",10.6832
"2021-12-27 23:00:00",10.7483
"2021-12-28 00:00:00",10.6342
"2021-12-28 01:00:00",10.6017
"2021-12-28 02:00:00",10.9438
"2021-12-28 03:00:00",11.1227
"2021-12-28 04:00:00",10.683
"2021-12-28 05:00:00",10.21
"2021-12-28 06:00:00",10.976
"2021-12-28 07:00:00",11.155
"2021-12-28 08:00:00",11.4632
"2021-12-28 09:00:00",11.722
"2021-12-28 10:00:00",12.207
"2021-12-28 11:00:00",12.835
"2021-12-28 12:00:00",13.1245
"2021-12-28 13:00:00",12.8995
"2021-12-28 14:00:00",12.5777
"2021-12-28 15:00:00",12.0777
"2021-12-28 16:00:00",11.4625
"2021-12-28 17:00:00",11.09
"2021-12-28 18:00:00",10.9113
"2021-12-28 19:00:00",11.0902
"2021-12-28 20:00:00",10.9275
"2021-12-28 21:00:00",10.9763
"2021-12-28 22:00:00",10.8787
"2021-12-28 23:00:00",10.8133
"2021-12-29 00:00:00",10.553
"2021-12-29 01:00:00",10.3407
"2021-12-29 02:00:00",10.0957
"2021-12-29 03:00:00",10.1937
"2021-12-29 04:00:00",NA
"2021-12-29 05:00:00",10.0793
"2021-12-29 06:00:00",NA
"2021-12-29 07:00:00",NA
"2021-12-29 08:00:00",10.21
"2021-12-29 09:00:00",10.4877
"2021-12-29 10:00:00",10.3242
"2021-12-29 11:00:00",9.505
"2021-12-29 12:00:00",9.8498
"2021-12-29 13:00:00",10.1773
"2021-12-29 14:00:00",NA
"2021-12-29 15:00:00",11.1383
"2021-12-29 16:00:00",11.8513
"2021-12-29 17:00:00",12.2553
"2021-12-29 18:00:00",12.9315
"2021-12-29 19:00:00",13.3332
"2021-12-29 20:00:00",13.718
"2021-12-29 21:00:00",13.862
"2021-12-29 22:00:00",13.942
"2021-12-29 23:00:00",13.91
"2021-12-30 00:00:00",13.862
"2021-12-30 01:00:00",13.67
"2021-12-30 02:00:00",13.75
"2021-12-30 03:00:00",13.878
"2021-12-30 04:00:00",13.958
"2021-12-30 05:00:00",14.102
"2021-12-30 06:00:00",13.942
"2021-12-30 07:00:00",13.974
"2021-12-30 08:00:00",14.134
"2021-12-30 09:00:00",14.3093
"2021-12-30 10:00:00",14.6767
"2021-12-30 11:00:00",15.155
"2021-12-30 12:00:00",15.8073
"2021-12-30 13:00:00",15.9348
"2021-12-30 14:00:00",15.8235
"2021-12-30 15:00:00",15.4255
"2021-12-30 16:00:00",15.0752
"2021-12-30 17:00:00",14.6768
"2021-12-30 18:00:00",14.7725
"2021-12-30 19:00:00",14.613
"2021-12-30 20:00:00",14.2455
"2021-12-30 21:00:00",13.5415
"2021-12-30 22:00:00",12.4327
"2021-12-30 23:00:00",11.4953
"2021-12-31 00:00:00",10.6668
"2021-12-31 01:00:00",10.2917
"2021-12-31 02:00:00",9.8663
"2021-12-31 03:00:00",9.62
"2021-12-31 04:00:00",9.5378
"2021-12-31 05:00:00",9.1925
"2021-12-31 06:00:00",9.0108
"2021-12-31 07:00:00",8.4647
"2021-12-31 08:00:00",8.2987
"2021-12-31 09:00:00",8.5308
"2021-12-31 10:00:00",9.4223
"2021-12-31 11:00:00",10.6992
"2021-12-31 12:00:00",11.8837
"2021-12-31 13:00:00",12.8188
"2021-12-31 14:00:00",15.0418
"2021-12-31 15:00:00",15.8393
"2021-12-31 16:00:00",15.0273
"2021-12-31 17:00:00",14.2935
"2021-12-31 18:00:00",13.974
"2021-12-31 19:00:00",13.6858
"2021-12-31 20:00:00",13.926
"2021-12-31 21:00:00",13.3332
"2021-12-31 22:00:00",12.658
"2021-12-31 23:00:00",11.5273
"2022-01-01 00:00:00",10.1282
"2022-01-01 01:00:00",9.3568
"2022-01-01 02:00:00",8.6468
"2022-01-01 03:00:00",7.9322
"2022-01-01 04:00:00",7.5482
"2022-01-01 05:00:00",8.032
"2022-01-01 06:00:00",7.6983
"2022-01-01 07:00:00",7.1455
"2022-01-01 08:00:00",6.809
"2022-01-01 09:00:00",6.9942
"2022-01-01 10:00:00",8.1648
"2022-01-01 11:00:00",9.9472
"2022-01-01 12:00:00",11.5112
"2022-01-01 13:00:00",12.819
"2022-01-01 14:00:00",13.269
"2022-01-01 15:00:00",13.0277
"2022-01-01 16:00:00",11.673
"2022-01-01 17:00:00",10.3568
"2022-01-01 18:00:00",9.472
"2022-01-01 19:00:00",8.862
"2022-01-01 20:00:00",8.4978
"2022-01-01 21:00:00",8.0158
"2022-01-01 22:00:00",7.7822
"2022-01-01 23:00:00",7.3303
"2022-01-02 00:00:00",7.481
"2022-01-02 01:00:00",7.2128
"2022-01-02 02:00:00",6.64
"2022-01-02 03:00:00",7.1285
"2022-01-02 04:00:00",6.8765
"2022-01-02 05:00:00",6.5893
"2022-01-02 06:00:00",7.0448
"2022-01-02 07:00:00",7.7485
"2022-01-02 08:00:00",7.2965
"2022-01-02 09:00:00",7.8485
"2022-01-02 10:00:00",NA
"2022-01-02 11:00:00",13.156
"2022-01-02 12:00:00",14.2777
"2022-01-02 13:00:00",15.1388
"2022-01-02 14:00:00",15.9982
"2022-01-02 15:00:00",15.9665
"2022-01-02 16:00:00",15.3938
"2022-01-02 17:00:00",15.1072
"2022-01-02 18:00:00",14.517
"2022-01-02 19:00:00",14.2137
"2022-01-02 20:00:00",13.702
"2022-01-02 21:00:00",13.2047
"2022-01-02 22:00:00",12.9315
"2022-01-02 23:00:00",12.9315
"2022-01-03 00:00:00",12.8027
"2022-01-03 01:00:00",12.5455
"2022-01-03 02:00:00",12.3845
"2022-01-03 03:00:00",NA
"2022-01-03 04:00:00",12.0453
"2022-01-03 05:00:00",11.8675
"2022-01-03 06:00:00",11.6897
"2022-01-03 07:00:00",NA
"2022-01-03 08:00:00",11.5118
"2022-01-03 09:00:00",11.6412
"2022-01-03 10:00:00",11.8513
"2022-01-03 11:00:00",12.013
"2022-01-03 12:00:00",12.1747
"2022-01-03 13:00:00",12.3363
"2022-01-03 14:00:00",12.465
"2022-01-03 15:00:00",12.433
"2022-01-03 16:00:00",12.3847
"2022-01-03 17:00:00",NA
"2022-01-03 18:00:00",NA
"2022-01-03 19:00:00",12.4005
"2022-01-03 20:00:00",12.6422
"2022-01-03 21:00:00",12.8832
"2022-01-03 22:00:00",13.237
"2022-01-03 23:00:00",13.269
"2022-01-04 00:00:00",13.1245
"2022-01-04 01:00:00",13.044
"2022-01-04 02:00:00",13.3812
"2022-01-04 03:00:00",13.67
"2022-01-04 04:00:00",13.5097
"2022-01-04 05:00:00",12.787
"2022-01-04 06:00:00",12.9957
"2022-01-04 07:00:00",14.2133
"2022-01-04 08:00:00",15.2982
"2022-01-04 09:00:00",15.3458
"2022-01-04 10:00:00",15.7755
"2022-01-04 11:00:00",16.2845
"2022-01-04 12:00:00",15.6162
"2022-01-04 13:00:00",14.1498
"2022-01-04 14:00:00",13.0277
"2022-01-04 15:00:00",12.7063
"2022-01-04 16:00:00",12.7222
"2022-01-04 17:00:00",11.0215
"2022-01-04 18:00:00",9.2747
"2022-01-04 19:00:00",8.6468
"2022-01-04 20:00:00",8.315
"2022-01-04 21:00:00",7.6985
"2022-01-04 22:00:00",7.2298
"2022-01-04 23:00:00",6.9778
"2022-01-05 00:00:00",6.8092
"2022-01-05 01:00:00",6.7925
"2022-01-05 02:00:00",6.9275
"2022-01-05 03:00:00",6.9443
"2022-01-05 04:00:00",6.7585
"2022-01-05 05:00:00",6.5392
"2022-01-05 06:00:00",5.4663
"2022-01-05 07:00:00",5.1232
"2022-01-05 08:00:00",4.4147
"2022-01-05 09:00:00",4.3283
"2022-01-05 10:00:00",4.3107
"2022-01-05 11:00:00",4.049
"2022-01-05 12:00:00",4.5017
"2022-01-05 13:00:00",4.7265
"2022-01-05 14:00:00",5.1578
"2022-01-05 15:00:00",4.8475
"2022-01-05 16:00:00",4.6057
"2022-01-05 17:00:00",4.3803
"2022-01-05 18:00:00",4.172
"2022-01-05 19:00:00",4.0153
"2022-01-05 20:00:00",3.928
"2022-01-05 21:00:00",3.823
"2022-01-05 22:00:00",4.015
"2022-01-05 23:00:00",4.0325
"2022-01-06 00:00:00",4.0673
"2022-01-06 01:00:00",3.9803
"2022-01-06 02:00:00",3.6305
"2022-01-06 03:00:00",3.4722
"2022-01-06 04:00:00",3.4195
"2022-01-06 05:00:00",3.2787
"2022-01-06 06:00:00",3.437
"2022-01-06 07:00:00",3.261
"2022-01-06 08:00:00",3.155
"2022-01-06 09:00:00",3.1197
"2022-01-06 10:00:00",3.6477
"2022-01-06 11:00:00",3.753
"2022-01-06 12:00:00",4.3107
"2022-01-06 13:00:00",4.744
"2022-01-06 14:00:00",5.0202
"2022-01-06 15:00:00",4.9857
"2022-01-06 16:00:00",4.5017
"2022-01-06 17:00:00",3.6652
"2022-01-06 18:00:00",2.943
"2022-01-06 19:00:00",2.6948
"2022-01-06 20:00:00",2.499
"2022-01-06 21:00:00",1.818
"2022-01-06 22:00:00",1.4207
"2022-01-06 23:00:00",1.0572
"2022-01-07 00:00:00",0.8567
"2022-01-07 01:00:00",0.4715
"2022-01-07 02:00:00",0.306
"2022-01-07 03:00:00",0.5448
"2022-01-07 04:00:00",0.5447
"2022-01-07 05:00:00",0.6
"2022-01-07 06:00:00",0.5817
"2022-01-07 07:00:00",0.747
"2022-01-07 08:00:00",1.256
"2022-01-07 09:00:00",2.409
"2022-01-07 10:00:00",3.296
"2022-01-07 11:00:00",3.4017
"2022-01-07 12:00:00",3.4722
"2022-01-07 13:00:00",3.5773
"2022-01-07 14:00:00",3.7003
"2022-01-07 15:00:00",3.4893
"2022-01-07 16:00:00",3.8405
"2022-01-07 17:00:00",3.1187
"2022-01-07 18:00:00",2.9075
"2022-01-07 19:00:00",3.1197
"2022-01-07 20:00:00",3.2433
"2022-01-07 21:00:00",3.6828
"2022-01-07 22:00:00",3.9455
"2022-01-07 23:00:00",4.2932
"2022-01-08 00:00:00",4.9682
"2022-01-08 01:00:00",5.2953
"2022-01-08 02:00:00",4.6053
"2022-01-08 03:00:00",4.4843
"2022-01-08 04:00:00",4.415
"2022-01-08 05:00:00",4.1718
"2022-01-08 06:00:00",3.788
"2022-01-08 07:00:00",3.3842
"2022-01-08 08:00:00",3.208
"2022-01-08 09:00:00",3.4018
"2022-01-08 10:00:00",3.683
"2022-01-08 11:00:00",4.3975
"2022-01-08 12:00:00",4.7782
"2022-01-08 13:00:00",5.0888
"2022-01-08 14:00:00",5.3982
"2022-01-08 15:00:00",5.6717
"2022-01-08 16:00:00",5.655
"2022-01-08 17:00:00",5.9278
"2022-01-08 18:00:00",6.115
"2022-01-08 19:00:00",6.6063
"2022-01-08 20:00:00",7.1458
"2022-01-08 21:00:00",7.2463
"2022-01-08 22:00:00",7.4645
"2022-01-08 23:00:00",7.5478
"2022-01-09 00:00:00",6.7245
"2022-01-09 01:00:00",7.4308
"2022-01-09 02:00:00",7.3975
"2022-01-09 03:00:00",6.6742
"2022-01-09 04:00:00",5.5163
"2022-01-09 05:00:00",4.7097
"2022-01-09 06:00:00",4.6577
"2022-01-09 07:00:00",4.4843
"2022-01-09 08:00:00",4.5363
"2022-01-09 09:00:00",4.6403
"2022-01-09 10:00:00",4.8302
"2022-01-09 11:00:00",5.3127
"2022-01-09 12:00:00",5.0718
"2022-01-09 13:00:00",5.552
"2022-01-09 14:00:00",6.047
"2022-01-09 15:00:00",5.6548
"2022-01-09 16:00:00",5.4325
"2022-01-09 17:00:00",5.1923
"2022-01-09 18:00:00",4.9168
"2022-01-09 19:00:00",4.8995
"2022-01-09 20:00:00",4.519
"2022-01-09 21:00:00",4.571
"2022-01-09 22:00:00",4.571
"2022-01-09 23:00:00",3.8577
